Country,Sex,Cause of Death,DALY per 100k Pop
Malawi,Male,Lower respiratory infections,629.2
Malawi,Male,"Trachea, bronchus, lung cancers",2.37
Malawi,Male,Ischaemic heart disease,125
Malawi,Male,Stroke,58.19
Malawi,Male,Chronic obstructive pulmonary disease,41.42
Malawi,Female,Total,687.1
Malawi,Female,Lower respiratory infections,508.3
Malawi,Female,"Trachea, bronchus, lung cancers",1.1
Malawi,Female,Cataracts,0
Malawi,Female,Ischaemic heart disease,86.99
Malawi,Female,Stroke,60.16
Malawi,Female,Chronic obstructive pulmonary disease,30.48
Namibia,Both sexes,Total,1112
Namibia,Both sexes,Lower respiratory infections,651.9
Namibia,Both sexes,"Trachea, bronchus, lung cancers",7.59
Namibia,Both sexes,Cataracts,0
Namibia,Both sexes,Ischaemic heart disease,218
Namibia,Both sexes,Stroke,133.9
Namibia,Both sexes,Chronic obstructive pulmonary disease,101.1
Namibia,Male,Total,1203
Namibia,Male,Lower respiratory infections,709.6
Namibia,Male,"Trachea, bronchus, lung cancers",9.66
Namibia,Male,Ischaemic heart disease,232.9
Namibia,Male,Stroke,124.2
Namibia,Male,Chronic obstructive pulmonary disease,126.3
Namibia,Female,Total,1027
Namibia,Female,Lower respiratory infections,597.3
Namibia,Female,"Trachea, bronchus, lung cancers",5.62
Namibia,Female,Cataracts,0
Namibia,Female,Ischaemic heart disease,203.9
Namibia,Female,Stroke,143
Namibia,Female,Chronic obstructive pulmonary disease,77.23
Niger,Both sexes,Total,4072
Niger,Both sexes,Lower respiratory infections,3435
Niger,Both sexes,"Trachea, bronchus, lung cancers",2.77
Niger,Both sexes,Cataracts,0
Niger,Both sexes,Ischaemic heart disease,315.2
Niger,Both sexes,Stroke,222.4
Niger,Both sexes,Chronic obstructive pulmonary disease,97.21
Niger,Male,Total,4155
Niger,Male,Lower respiratory infections,3465
Niger,Male,"Trachea, bronchus, lung cancers",3.91
Niger,Male,Ischaemic heart disease,359.5
Niger,Male,Stroke,215.2
Niger,Male,Chronic obstructive pulmonary disease,110.7
Niger,Female,Total,3989
Niger,Female,Lower respiratory infections,3404
Niger,Female,"Trachea, bronchus, lung cancers",1.63
Niger,Female,Cataracts,0
Niger,Female,Ischaemic heart disease,270.7
Niger,Female,Stroke,229.6
Niger,Female,Chronic obstructive pulmonary disease,83.61
Nigeria,Both sexes,Total,4045
Nigeria,Both sexes,Lower respiratory infections,3378
Nigeria,Both sexes,"Trachea, bronchus, lung cancers",4.29
Nigeria,Both sexes,Cataracts,0
Nigeria,Both sexes,Ischaemic heart disease,348.9
Nigeria,Both sexes,Stroke,213.8
Nigeria,Both sexes,Chronic obstructive pulmonary disease,99.99
Nigeria,Male,Total,4157
Nigeria,Male,Lower respiratory infections,3506
Nigeria,Male,"Trachea, bronchus, lung cancers",4.15
Nigeria,Male,Ischaemic heart disease,364.6
Nigeria,Male,Stroke,190.2
Nigeria,Male,Chronic obstructive pulmonary disease,92.5
Nigeria,Female,Total,3930
Nigeria,Female,Lower respiratory infections,3247
Nigeria,Female,"Trachea, bronchus, lung cancers",4.43
Nigeria,Female,Cataracts,0
Nigeria,Female,Ischaemic heart disease,332.8
Nigeria,Female,Stroke,238.2
Nigeria,Female,Chronic obstructive pulmonary disease,107.7
Rwanda,Both sexes,Total,996.7
Rwanda,Both sexes,Lower respiratory infections,690
Rwanda,Both sexes,"Trachea, bronchus, lung cancers",5.03
Rwanda,Both sexes,Cataracts,0
Rwanda,Both sexes,Ischaemic heart disease,125.1
Rwanda,Both sexes,Stroke,107.8
Rwanda,Both sexes,Chronic obstructive pulmonary disease,68.72
Rwanda,Male,Total,1089
Rwanda,Male,Lower respiratory infections,760.6
Rwanda,Male,"Trachea, bronchus, lung cancers",5.33
Rwanda,Male,Ischaemic heart disease,146.6
Rwanda,Male,Stroke,106.1
Rwanda,Male,Chronic obstructive pulmonary disease,70.6
Rwanda,Female,Total,907.8
Rwanda,Female,Lower respiratory infections,622.1
Rwanda,Female,"Trachea, bronchus, lung cancers",4.73
Rwanda,Female,Cataracts,0
Rwanda,Female,Ischaemic heart disease,104.5
Rwanda,Female,Stroke,109.5
Rwanda,Female,Chronic obstructive pulmonary disease,66.92
Senegal,Both sexes,Total,1388
Senegal,Both sexes,Lower respiratory infections,904.9
Senegal,Both sexes,"Trachea, bronchus, lung cancers",6
Senegal,Both sexes,Cataracts,0
Senegal,Both sexes,Ischaemic heart disease,258.9
Senegal,Both sexes,Stroke,140.4
Senegal,Both sexes,Chronic obstructive pulmonary disease,77.71
Senegal,Male,Total,1514
Senegal,Male,Lower respiratory infections,999.2
Senegal,Male,"Trachea, bronchus, lung cancers",7.41
Senegal,Male,Ischaemic heart disease,285.1
Senegal,Male,Stroke,132
Senegal,Male,Chronic obstructive pulmonary disease,90.79
Senegal,Female,Total,1266
Senegal,Female,Lower respiratory infections,814
Senegal,Female,"Trachea, bronchus, lung cancers",4.64
Senegal,Female,Cataracts,0
Senegal,Female,Ischaemic heart disease,233.5
Senegal,Female,Stroke,148.6
Senegal,Female,Chronic obstructive pulmonary disease,65.1
Sierra Leone,Both sexes,Total,2162
Sierra Leone,Both sexes,Lower respiratory infections,1365
Sierra Leone,Both sexes,"Trachea, bronchus, lung cancers",2.81
Sierra Leone,Both sexes,Cataracts,0
Sierra Leone,Both sexes,Ischaemic heart disease,433.3
Sierra Leone,Both sexes,Stroke,276.8
Sierra Leone,Both sexes,Chronic obstructive pulmonary disease,84.15
Sierra Leone,Male,Total,2213
Sierra Leone,Male,Lower respiratory infections,1422
Sierra Leone,Male,"Trachea, bronchus, lung cancers",3.58
Sierra Leone,Male,Ischaemic heart disease,457.5
Sierra Leone,Male,Stroke,249
Sierra Leone,Male,Chronic obstructive pulmonary disease,80.67
Sierra Leone,Female,Total,2112
Sierra Leone,Female,Lower respiratory infections,1309
Sierra Leone,Female,"Trachea, bronchus, lung cancers",2.05
Sierra Leone,Female,Cataracts,0
Sierra Leone,Female,Ischaemic heart disease,409.5
Sierra Leone,Female,Stroke,304.1
Sierra Leone,Female,Chronic obstructive pulmonary disease,87.56
South Sudan,Both sexes,Total,2537
South Sudan,Both sexes,Lower respiratory infections,2078
South Sudan,Both sexes,"Trachea, bronchus, lung cancers",7.46
South Sudan,Both sexes,Cataracts,0
South Sudan,Both sexes,Ischaemic heart disease,224.1
South Sudan,Both sexes,Stroke,157.3
South Sudan,Both sexes,Chronic obstructive pulmonary disease,70.66
South Sudan,Male,Total,2653
South Sudan,Male,Lower respiratory infections,2163
South Sudan,Male,"Trachea, bronchus, lung cancers",8.19
South Sudan,Male,Ischaemic heart disease,256.1
South Sudan,Male,Stroke,146.2
South Sudan,Male,Chronic obstructive pulmonary disease,79.37
South Sudan,Female,Total,2422
South Sudan,Female,Lower respiratory infections,1993
South Sudan,Female,"Trachea, bronchus, lung cancers",6.74
South Sudan,Female,Cataracts,0
South Sudan,Female,Ischaemic heart disease,191.9
South Sudan,Female,Stroke,168.4
South Sudan,Female,Chronic obstructive pulmonary disease,61.92
Sao Tome and Principe,Both sexes,Total,986.1
Sao Tome and Principe,Both sexes,Lower respiratory infections,558.5
Sao Tome and Principe,Both sexes,"Trachea, bronchus, lung cancers",25.8
Sao Tome and Principe,Both sexes,Cataracts,0
Sao Tome and Principe,Both sexes,Ischaemic heart disease,139
Sao Tome and Principe,Both sexes,Stroke,145.1
Sao Tome and Principe,Both sexes,Chronic obstructive pulmonary disease,117.7
Sao Tome and Principe,Male,Total,1020
Sao Tome and Principe,Male,Lower respiratory infections,607.8
Sao Tome and Principe,Male,"Trachea, bronchus, lung cancers",36.24
Sao Tome and Principe,Male,Ischaemic heart disease,134.3
Sao Tome and Principe,Male,Stroke,122.2
Sao Tome and Principe,Male,Chronic obstructive pulmonary disease,119.6
Sao Tome and Principe,Female,Total,952.3
Sao Tome and Principe,Female,Lower respiratory infections,509.6
Sao Tome and Principe,Female,"Trachea, bronchus, lung cancers",15.44
Sao Tome and Principe,Female,Cataracts,0
Sao Tome and Principe,Female,Ischaemic heart disease,143.6
Sao Tome and Principe,Female,Stroke,167.8
Sao Tome and Principe,Female,Chronic obstructive pulmonary disease,115.9
Eswatini,Both sexes,Total,1077
Eswatini,Both sexes,Lower respiratory infections,675.3
Eswatini,Both sexes,"Trachea, bronchus, lung cancers",5.33
Eswatini,Both sexes,Cataracts,0
Eswatini,Both sexes,Ischaemic heart disease,187.3
Eswatini,Both sexes,Stroke,121
Eswatini,Both sexes,Chronic obstructive pulmonary disease,88.1
Eswatini,Male,Total,1142
Eswatini,Male,Lower respiratory infections,736.1
Eswatini,Male,"Trachea, bronchus, lung cancers",7.09
Eswatini,Male,Ischaemic heart disease,179.1
Eswatini,Male,Stroke,109.2
Eswatini,Male,Chronic obstructive pulmonary disease,110.1
Eswatini,Female,Total,1016
Eswatini,Female,Lower respiratory infections,618.3
Eswatini,Female,"Trachea, bronchus, lung cancers",3.67
Eswatini,Female,Cataracts,0
Eswatini,Female,Ischaemic heart disease,195.1
Eswatini,Female,Stroke,132
Eswatini,Female,Chronic obstructive pulmonary disease,67.4
Seychelles,Both sexes,Total,1178
Seychelles,Both sexes,Lower respiratory infections,277
Seychelles,Both sexes,"Trachea, bronchus, lung cancers",46.01
Seychelles,Both sexes,Cataracts,0
Seychelles,Both sexes,Ischaemic heart disease,508.3
Seychelles,Both sexes,Stroke,208.4
Seychelles,Both sexes,Chronic obstructive pulmonary disease,138.5
Seychelles,Male,Total,1690
Seychelles,Male,Lower respiratory infections,385.7
Seychelles,Male,"Trachea, bronchus, lung cancers",72.37
Seychelles,Male,Ischaemic heart disease,742.4
Seychelles,Male,Stroke,293.2
Seychelles,Male,Chronic obstructive pulmonary disease,196.2
Seychelles,Female,Total,679.8
Seychelles,Female,Lower respiratory infections,171.1
Seychelles,Female,"Trachea, bronchus, lung cancers",20.33
Seychelles,Female,Cataracts,0
Seychelles,Female,Ischaemic heart disease,280.1
Seychelles,Female,Stroke,125.9
Seychelles,Female,Chronic obstructive pulmonary disease,82.39
Chad,Both sexes,Total,5303
Chad,Both sexes,Lower respiratory infections,4594
Chad,Both sexes,"Trachea, bronchus, lung cancers",4.11
Chad,Both sexes,Cataracts,0
Chad,Both sexes,Ischaemic heart disease,345.2
Chad,Both sexes,Stroke,253.7
Chad,Both sexes,Chronic obstructive pulmonary disease,105.5
Chad,Male,Total,5598
Chad,Male,Lower respiratory infections,4816
Chad,Male,"Trachea, bronchus, lung cancers",4.6
Chad,Male,Ischaemic heart disease,414.2
Chad,Male,Stroke,251.4
Chad,Male,Chronic obstructive pulmonary disease,111.9
Chad,Female,Total,5006
Chad,Female,Lower respiratory infections,4371
Chad,Female,"Trachea, bronchus, lung cancers",3.63
Chad,Female,Cataracts,0
Chad,Female,Ischaemic heart disease,276.2
Chad,Female,Stroke,256
Chad,Female,Chronic obstructive pulmonary disease,99.11
Togo,Both sexes,Total,2013
Togo,Both sexes,Lower respiratory infections,1331
Togo,Both sexes,"Trachea, bronchus, lung cancers",3.93
Togo,Both sexes,Cataracts,0
Togo,Both sexes,Ischaemic heart disease,361.5
Togo,Both sexes,Stroke,220.2
Togo,Both sexes,Chronic obstructive pulmonary disease,96.01
Togo,Male,Total,2210
Togo,Male,Lower respiratory infections,1474
Togo,Male,"Trachea, bronchus, lung cancers",5.48
Togo,Male,Ischaemic heart disease,414.7
Togo,Male,Stroke,216.9
Togo,Male,Chronic obstructive pulmonary disease,98.66
Togo,Female,Total,1817
Togo,Female,Lower respiratory infections,1189
Togo,Female,"Trachea, bronchus, lung cancers",2.39
Togo,Female,Cataracts,0
Togo,Female,Ischaemic heart disease,308.6
Togo,Female,Stroke,223.4
Togo,Female,Chronic obstructive pulmonary disease,93.38
United Republic of Tanzania,Both sexes,Total,1239
United Republic of Tanzania,Both sexes,Lower respiratory infections,904.4
United Republic of Tanzania,Both sexes,"Trachea, bronchus, lung cancers",1.64
United Republic of Tanzania,Both sexes,Cataracts,0
United Republic of Tanzania,Both sexes,Ischaemic heart disease,190
United Republic of Tanzania,Both sexes,Stroke,92.87
United Republic of Tanzania,Both sexes,Chronic obstructive pulmonary disease,50.02
United Republic of Tanzania,Male,Total,1284
United Republic of Tanzania,Male,Lower respiratory infections,937.2
United Republic of Tanzania,Male,"Trachea, bronchus, lung cancers",1.83
United Republic of Tanzania,Male,Ischaemic heart disease,208
United Republic of Tanzania,Male,Stroke,83.81
United Republic of Tanzania,Male,Chronic obstructive pulmonary disease,53.66
United Republic of Tanzania,Female,Total,1194
United Republic of Tanzania,Female,Lower respiratory infections,872.3
United Republic of Tanzania,Female,"Trachea, bronchus, lung cancers",1.45
United Republic of Tanzania,Female,Cataracts,0
United Republic of Tanzania,Female,Ischaemic heart disease,172.4
United Republic of Tanzania,Female,Stroke,101.7
United Republic of Tanzania,Female,Chronic obstructive pulmonary disease,46.47
Uganda,Both sexes,Total,1768
Uganda,Both sexes,Lower respiratory infections,1423
Uganda,Both sexes,"Trachea, bronchus, lung cancers",7.36
Uganda,Both sexes,Cataracts,0
Uganda,Both sexes,Ischaemic heart disease,148.4
Uganda,Both sexes,Stroke,123
Uganda,Both sexes,Chronic obstructive pulmonary disease,65.7
Uganda,Male,Total,1861
Uganda,Male,Lower respiratory infections,1505
Uganda,Male,"Trachea, bronchus, lung cancers",7.68
Uganda,Male,Ischaemic heart disease,169.1
Uganda,Male,Stroke,112.6
Uganda,Male,Chronic obstructive pulmonary disease,66.95
Uganda,Female,Total,1675
Uganda,Female,Lower respiratory infections,1342
Uganda,Female,"Trachea, bronchus, lung cancers",7.04
Uganda,Female,Cataracts,0
Uganda,Female,Ischaemic heart disease,127.9
Uganda,Female,Stroke,133.3
Uganda,Female,Chronic obstructive pulmonary disease,64.47
South Africa,Both sexes,Total,1321
South Africa,Both sexes,Lower respiratory infections,595.3
South Africa,Both sexes,"Trachea, bronchus, lung cancers",49.61
South Africa,Both sexes,Cataracts,0
South Africa,Both sexes,Ischaemic heart disease,322
South Africa,Both sexes,Stroke,184.9
South Africa,Both sexes,Chronic obstructive pulmonary disease,169.6
South Africa,Male,Total,1571
South Africa,Male,Lower respiratory infections,693.7
South Africa,Male,"Trachea, bronchus, lung cancers",66.91
South Africa,Male,Ischaemic heart disease,396
South Africa,Male,Stroke,203.3
South Africa,Male,Chronic obstructive pulmonary disease,211
South Africa,Female,Total,1081
South Africa,Female,Lower respiratory infections,500.4
South Africa,Female,"Trachea, bronchus, lung cancers",32.92
South Africa,Female,Cataracts,0
South Africa,Female,Ischaemic heart disease,250.7
South Africa,Female,Stroke,167.2
South Africa,Female,Chronic obstructive pulmonary disease,129.8
Zambia,Both sexes,Total,1156
Zambia,Both sexes,Lower respiratory infections,869.4
Zambia,Both sexes,"Trachea, bronchus, lung cancers",2.85
Zambia,Both sexes,Cataracts,0
Zambia,Both sexes,Ischaemic heart disease,152
Zambia,Both sexes,Stroke,85.95
Zambia,Both sexes,Chronic obstructive pulmonary disease,45.91
Zambia,Male,Total,1226
Zambia,Male,Lower respiratory infections,925.6
Zambia,Male,"Trachea, bronchus, lung cancers",3.21
Zambia,Male,Ischaemic heart disease,169.7
Zambia,Male,Stroke,77.27
Zambia,Male,Chronic obstructive pulmonary disease,50.19
Zambia,Female,Total,1087
Zambia,Female,Lower respiratory infections,814.1
Zambia,Female,"Trachea, bronchus, lung cancers",2.49
Zambia,Female,Cataracts,0
Zambia,Female,Ischaemic heart disease,134.5
Zambia,Female,Stroke,94.51
Zambia,Female,Chronic obstructive pulmonary disease,41.69
Zimbabwe,Both sexes,Total,984
Zimbabwe,Both sexes,Lower respiratory infections,690.8
Zimbabwe,Both sexes,"Trachea, bronchus, lung cancers",4.76
Zimbabwe,Both sexes,Cataracts,0
Zimbabwe,Both sexes,Ischaemic heart disease,133.2
Zimbabwe,Both sexes,Stroke,96.32
Zimbabwe,Both sexes,Chronic obstructive pulmonary disease,58.97
Zimbabwe,Male,Total,979.9
Zimbabwe,Male,Lower respiratory infections,720.8
Zimbabwe,Male,"Trachea, bronchus, lung cancers",6.4
Zimbabwe,Male,Ischaemic heart disease,109.6
Zimbabwe,Male,Stroke,81.34
Zimbabwe,Male,Chronic obstructive pulmonary disease,61.67
Zimbabwe,Female,Total,987.9
Zimbabwe,Female,Lower respiratory infections,662.3
Zimbabwe,Female,"Trachea, bronchus, lung cancers",3.21
Zimbabwe,Female,Cataracts,0
Zimbabwe,Female,Ischaemic heart disease,155.5
Zimbabwe,Female,Stroke,110.5
Zimbabwe,Female,Chronic obstructive pulmonary disease,56.41
Argentina,Both sexes,Total,662.6
Argentina,Both sexes,Lower respiratory infections,152.5
Argentina,Both sexes,"Trachea, bronchus, lung cancers",43.21
Argentina,Both sexes,Cataracts,0
Argentina,Both sexes,Ischaemic heart disease,254
Argentina,Both sexes,Stroke,100.1
Argentina,Both sexes,Chronic obstructive pulmonary disease,112.6
Argentina,Male,Total,795
Argentina,Male,Lower respiratory infections,165.7
Argentina,Male,"Trachea, bronchus, lung cancers",59.8
Argentina,Male,Ischaemic heart disease,332.3
Argentina,Male,Stroke,111.9
Argentina,Male,Chronic obstructive pulmonary disease,125.3
Argentina,Female,Total,535.6
Argentina,Female,Lower respiratory infections,139.9
Argentina,Female,"Trachea, bronchus, lung cancers",27.32
Argentina,Female,Cataracts,0
Argentina,Female,Ischaemic heart disease,179
Argentina,Female,Stroke,88.87
Argentina,Female,Chronic obstructive pulmonary disease,100.5
Antigua and Barbuda,Both sexes,Total,610.4
Antigua and Barbuda,Both sexes,Lower respiratory infections,109.7
Antigua and Barbuda,Both sexes,"Trachea, bronchus, lung cancers",12.57
Antigua and Barbuda,Both sexes,Cataracts,0
Antigua and Barbuda,Both sexes,Ischaemic heart disease,295.7
Antigua and Barbuda,Both sexes,Stroke,144.7
Antigua and Barbuda,Both sexes,Chronic obstructive pulmonary disease,47.85
Antigua and Barbuda,Male,Total,725.8
Antigua and Barbuda,Male,Lower respiratory infections,155.8
Antigua and Barbuda,Male,"Trachea, bronchus, lung cancers",15.56
Antigua and Barbuda,Male,Ischaemic heart disease,365.3
Antigua and Barbuda,Male,Stroke,128.2
Antigua and Barbuda,Male,Chronic obstructive pulmonary disease,60.93
Antigua and Barbuda,Female,Total,503.9
Antigua and Barbuda,Female,Lower respiratory infections,67.11
Antigua and Barbuda,Female,"Trachea, bronchus, lung cancers",9.8
Antigua and Barbuda,Female,Cataracts,0
Antigua and Barbuda,Female,Ischaemic heart disease,231.4
Antigua and Barbuda,Female,Stroke,159.8
Antigua and Barbuda,Female,Chronic obstructive pulmonary disease,35.78
Bahamas,Both sexes,Total,546
Bahamas,Both sexes,Lower respiratory infections,100.7
Bahamas,Both sexes,"Trachea, bronchus, lung cancers",29.81
Bahamas,Both sexes,Cataracts,0
Bahamas,Both sexes,Ischaemic heart disease,267.5
Bahamas,Both sexes,Stroke,119.4
Bahamas,Both sexes,Chronic obstructive pulmonary disease,28.53
Bahamas,Male,Total,687.7
Bahamas,Male,Lower respiratory infections,116.3
Bahamas,Male,"Trachea, bronchus, lung cancers",43.45
Bahamas,Male,Ischaemic heart disease,356.5
Bahamas,Male,Stroke,132.8
Bahamas,Male,Chronic obstructive pulmonary disease,38.64
Bahamas,Female,Total,410.1
Bahamas,Female,Lower respiratory infections,85.8
Bahamas,Female,"Trachea, bronchus, lung cancers",16.73
Bahamas,Female,Cataracts,0
Bahamas,Female,Ischaemic heart disease,182.1
Bahamas,Female,Stroke,106.6
Bahamas,Female,Chronic obstructive pulmonary disease,18.84
Belize,Both sexes,Total,605.7
Belize,Both sexes,Lower respiratory infections,153.2
Belize,Both sexes,"Trachea, bronchus, lung cancers",33.67
Belize,Both sexes,Cataracts,0
Belize,Both sexes,Ischaemic heart disease,258.7
Belize,Both sexes,Stroke,106.6
Belize,Both sexes,Chronic obstructive pulmonary disease,53.62
Belize,Male,Total,768
Belize,Male,Lower respiratory infections,180
Belize,Male,"Trachea, bronchus, lung cancers",52.29
Belize,Male,Ischaemic heart disease,335.1
Belize,Male,Stroke,126.3
Belize,Male,Chronic obstructive pulmonary disease,74.35
Belize,Female,Total,444.6
Belize,Female,Lower respiratory infections,126.5
Belize,Female,"Trachea, bronchus, lung cancers",15.18
Belize,Female,Cataracts,0
Belize,Female,Ischaemic heart disease,182.8
Belize,Female,Stroke,87.07
Belize,Female,Chronic obstructive pulmonary disease,33.05
Bolivia (Plurinational State of),Both sexes,Total,1025
Bolivia (Plurinational State of),Both sexes,Lower respiratory infections,410.2
Bolivia (Plurinational State of),Both sexes,"Trachea, bronchus, lung cancers",10.64
Bolivia (Plurinational State of),Both sexes,Cataracts,0
Bolivia (Plurinational State of),Both sexes,Ischaemic heart disease,349.8
Bolivia (Plurinational State of),Both sexes,Stroke,172.3
Bolivia (Plurinational State of),Both sexes,Chronic obstructive pulmonary disease,81.68
Bolivia (Plurinational State of),Male,Total,1156
Bolivia (Plurinational State of),Male,Lower respiratory infections,454.4
Bolivia (Plurinational State of),Male,"Trachea, bronchus, lung cancers",10.19
Bolivia (Plurinational State of),Male,Ischaemic heart disease,427.3
Bolivia (Plurinational State of),Male,Stroke,177.4
Bolivia (Plurinational State of),Male,Chronic obstructive pulmonary disease,87.13
Bolivia (Plurinational State of),Female,Total,892.4
Bolivia (Plurinational State of),Female,Lower respiratory infections,365.9
Bolivia (Plurinational State of),Female,"Trachea, bronchus, lung cancers",11.09
Bolivia (Plurinational State of),Female,Cataracts,0
Bolivia (Plurinational State of),Female,Ischaemic heart disease,272
Bolivia (Plurinational State of),Female,Stroke,167.3
Bolivia (Plurinational State of),Female,Chronic obstructive pulmonary disease,76.21
Brazil,Both sexes,Total,612.8
Brazil,Both sexes,Lower respiratory infections,114.6
Brazil,Both sexes,"Trachea, bronchus, lung cancers",25.91
Brazil,Both sexes,Cataracts,0
Brazil,Both sexes,Ischaemic heart disease,273.3
Brazil,Both sexes,Stroke,121.3
Brazil,Both sexes,Chronic obstructive pulmonary disease,77.6
Brazil,Male,Total,734.8
Brazil,Male,Lower respiratory infections,130.5
Brazil,Male,"Trachea, bronchus, lung cancers",30.97
Brazil,Male,Ischaemic heart disease,351.5
Brazil,Male,Stroke,133.1
Brazil,Male,Chronic obstructive pulmonary disease,88.73
Brazil,Female,Total,494.7
Brazil,Female,Lower respiratory infections,99.23
Brazil,Female,"Trachea, bronchus, lung cancers",21.03
Brazil,Female,Cataracts,0
Brazil,Female,Ischaemic heart disease,197.7
Brazil,Female,Stroke,110
Brazil,Female,Chronic obstructive pulmonary disease,66.85
Barbados,Both sexes,Total,1026
Barbados,Both sexes,Lower respiratory infections,310.8
Barbados,Both sexes,"Trachea, bronchus, lung cancers",45.58
Barbados,Both sexes,Cataracts,0
Barbados,Both sexes,Ischaemic heart disease,352.8
Barbados,Both sexes,Stroke,247.1
Barbados,Both sexes,Chronic obstructive pulmonary disease,69.5
Barbados,Male,Total,1220
Barbados,Male,Lower respiratory infections,352.8
Barbados,Male,"Trachea, bronchus, lung cancers",58.53
Barbados,Male,Ischaemic heart disease,438.1
Barbados,Male,Stroke,280.7
Barbados,Male,Chronic obstructive pulmonary disease,90.24
Barbados,Female,Total,846.8
Barbados,Female,Lower respiratory infections,272.2
Barbados,Female,"Trachea, bronchus, lung cancers",33.68
Barbados,Female,Cataracts,0
Barbados,Female,Ischaemic heart disease,274.4
Barbados,Female,Stroke,216.2
Barbados,Female,Chronic obstructive pulmonary disease,50.43
Canada,Both sexes,Total,272.1
Canada,Both sexes,Lower respiratory infections,13.01
Canada,Both sexes,"Trachea, bronchus, lung cancers",34.8
Canada,Both sexes,Cataracts,0
Canada,Both sexes,Ischaemic heart disease,142
Canada,Both sexes,Stroke,37.61
Canada,Both sexes,Chronic obstructive pulmonary disease,44.68
Canada,Male,Total,327.2
Canada,Male,Lower respiratory infections,13.24
Canada,Male,"Trachea, bronchus, lung cancers",37.56
Canada,Male,Ischaemic heart disease,193.1
Canada,Male,Stroke,35.87
Canada,Male,Chronic obstructive pulmonary disease,47.41
Canada,Female,Total,217.9
Canada,Female,Lower respiratory infections,12.79
Canada,Female,"Trachea, bronchus, lung cancers",32.09
Canada,Female,Cataracts,0
Canada,Female,Ischaemic heart disease,91.67
Canada,Female,Stroke,39.33
Canada,Female,Chronic obstructive pulmonary disease,41.99
Chile,Both sexes,Total,557.9
Chile,Both sexes,Lower respiratory infections,70.93
Chile,Both sexes,"Trachea, bronchus, lung cancers",51.52
Chile,Both sexes,Cataracts,0
Chile,Both sexes,Ischaemic heart disease,223.4
Chile,Both sexes,Stroke,132.1
Chile,Both sexes,Chronic obstructive pulmonary disease,79.88
Chile,Male,Total,680.7
Chile,Male,Lower respiratory infections,81.36
Chile,Male,"Trachea, bronchus, lung cancers",62.95
Chile,Male,Ischaemic heart disease,306.1
Chile,Male,Stroke,143.4
Chile,Male,Chronic obstructive pulmonary disease,86.85
Chile,Female,Total,437.4
Chile,Female,Lower respiratory infections,60.71
Chile,Female,"Trachea, bronchus, lung cancers",40.3
Chile,Female,Cataracts,0
Chile,Female,Ischaemic heart disease,142.3
Chile,Female,Stroke,121.1
Chile,Female,Chronic obstructive pulmonary disease,73.03
Colombia,Both sexes,Total,631.5
Colombia,Both sexes,Lower respiratory infections,100.4
Colombia,Both sexes,"Trachea, bronchus, lung cancers",31.83
Colombia,Both sexes,Cataracts,0
Colombia,Both sexes,Ischaemic heart disease,331
Colombia,Both sexes,Stroke,106.1
Colombia,Both sexes,Chronic obstructive pulmonary disease,62.15
Colombia,Male,Total,761.3
Colombia,Male,Lower respiratory infections,115.2
Colombia,Male,"Trachea, bronchus, lung cancers",38.42
Colombia,Male,Ischaemic heart disease,427.4
Colombia,Male,Stroke,110.4
Colombia,Male,Chronic obstructive pulmonary disease,69.85
Colombia,Female,Total,505.7
Colombia,Female,Lower respiratory infections,86.13
Colombia,Female,"Trachea, bronchus, lung cancers",25.43
Colombia,Female,Cataracts,0
Colombia,Female,Ischaemic heart disease,237.6
Colombia,Female,Stroke,101.8
Colombia,Female,Chronic obstructive pulmonary disease,54.69
Costa Rica,Both sexes,Total,461.9
Costa Rica,Both sexes,Lower respiratory infections,53.31
Costa Rica,Both sexes,"Trachea, bronchus, lung cancers",16.09
Costa Rica,Both sexes,Cataracts,0
Costa Rica,Both sexes,Ischaemic heart disease,255.6
Costa Rica,Both sexes,Stroke,74.1
Costa Rica,Both sexes,Chronic obstructive pulmonary disease,62.8
Costa Rica,Male,Total,577.1
Costa Rica,Male,Lower respiratory infections,65.06
Costa Rica,Male,"Trachea, bronchus, lung cancers",21.71
Costa Rica,Male,Ischaemic heart disease,342.8
Costa Rica,Male,Stroke,78.28
Costa Rica,Male,Chronic obstructive pulmonary disease,69.24
Costa Rica,Female,Total,346.5
Costa Rica,Female,Lower respiratory infections,41.55
Costa Rica,Female,"Trachea, bronchus, lung cancers",10.47
Costa Rica,Female,Cataracts,0
Costa Rica,Female,Ischaemic heart disease,168.2
Costa Rica,Female,Stroke,69.92
Costa Rica,Female,Chronic obstructive pulmonary disease,56.36
Cuba,Both sexes,Total,1081
Cuba,Both sexes,Lower respiratory infections,155.4
Cuba,Both sexes,"Trachea, bronchus, lung cancers",124.4
Cuba,Both sexes,Cataracts,0
Cuba,Both sexes,Ischaemic heart disease,482.8
Cuba,Both sexes,Stroke,176.6
Cuba,Both sexes,Chronic obstructive pulmonary disease,141.5
Cuba,Male,Total,1256
Cuba,Male,Lower respiratory infections,167.3
Cuba,Male,"Trachea, bronchus, lung cancers",157.8
Cuba,Male,Ischaemic heart disease,584.4
Cuba,Male,Stroke,197.5
Cuba,Male,Chronic obstructive pulmonary disease,148.7
Cuba,Female,Total,905.6
Cuba,Female,Lower respiratory infections,143.4
Cuba,Female,"Trachea, bronchus, lung cancers",91.08
Cuba,Female,Cataracts,0
